,step,mx,final,xy
0,2,5,18.0,"(24210.0, 5955.0)"
1,2,5,-34.0,"(22735.0, 5314.0)"
2,2,5,-9.0,"(25537.0, 4145.0)"
3,2,5,21.0,"(26736.0, 4145.0)"
4,2,5,-5.0,"(25537.0, 6035.0)"
5,2,5,-5.0,"(25537.0, 4145.0)"
6,2,5,-18.0,"(27353.0, 4145.0)"
7,2,5,-20.0,"(24210.0, 5955.0)"
8,2,5,12.0,"(27353.0, 4145.0)"
9,2,5,-16.0,"(25537.0, 5728.0)"
10,2,10,-7.0,"(25537.0, 4145.0)"
11,2,10,8.0,"(22735.0, 5314.0)"
12,2,10,-16.0,"(25537.0, 6035.0)"
13,2,10,-37.0,"(26736.0, 4145.0)"
14,2,10,-37.0,"(26736.0, 4145.0)"
15,2,10,-31.0,"(27353.0, 4145.0)"
16,2,10,-26.0,"(25537.0, 6035.0)"
17,2,10,-8.0,"(24210.0, 5955.0)"
18,2,10,-12.0,"(25537.0, 4145.0)"
19,2,10,-6.0,"(25537.0, 5728.0)"
20,2,15,15.0,"(25537.0, 6035.0)"
21,2,15,8.0,"(25537.0, 4145.0)"
22,2,15,1.0,"(25537.0, 5728.0)"
23,2,15,8.0,"(25537.0, 5728.0)"
24,2,15,4.0,"(22735.0, 5314.0)"
25,2,15,-42.0,"(22735.0, 5314.0)"
26,2,15,-22.0,"(25537.0, 6035.0)"
27,2,15,-30.0,"(26736.0, 4145.0)"
28,2,15,15.0,"(25537.0, 5728.0)"
29,2,15,-40.0,"(25537.0, 4145.0)"
30,2,20,8.0,"(24210.0, 5955.0)"
31,2,20,16.0,"(25537.0, 6035.0)"
32,2,20,-28.0,"(24210.0, 5955.0)"
33,2,20,-35.0,"(26736.0, 4145.0)"
34,2,20,-33.0,"(25537.0, 6035.0)"
35,2,20,-2.0,"(25537.0, 5728.0)"
36,2,20,-44.0,"(22735.0, 5314.0)"
37,2,20,-15.0,"(27353.0, 4145.0)"
38,2,20,-19.0,"(27353.0, 4145.0)"
39,2,20,-38.0,"(22735.0, 5314.0)"
40,2,50,-63.0,"(25537.0, 5728.0)"
41,2,50,-70.0,"(25537.0, 5728.0)"
42,2,50,54.0,"(27353.0, 4145.0)"
43,2,50,-41.0,"(27353.0, 4145.0)"
44,2,50,-41.0,"(27353.0, 4145.0)"
45,2,50,-63.0,"(26736.0, 4145.0)"
46,2,50,-70.0,"(25537.0, 5728.0)"
47,2,50,-62.0,"(26736.0, 4145.0)"
48,2,50,15.0,"(25537.0, 6035.0)"
49,2,50,-34.0,"(25537.0, 4145.0)"
50,5,5,9.0,"(24210.0, 5955.0)"
51,5,5,20.0,"(22735.0, 5314.0)"
52,5,5,-19.0,"(25537.0, 4145.0)"
53,5,5,-34.0,"(26736.0, 4145.0)"
54,5,5,12.0,"(26736.0, 4145.0)"
55,5,5,-19.0,"(24210.0, 5955.0)"
56,5,5,20.0,"(27353.0, 4145.0)"
57,5,5,-11.0,"(26736.0, 4145.0)"
58,5,5,17.0,"(22735.0, 5314.0)"
59,5,5,14.0,"(24210.0, 5955.0)"
60,5,10,-48.0,"(25537.0, 4145.0)"
61,5,10,-25.0,"(27353.0, 4145.0)"
62,5,10,-21.0,"(24210.0, 5955.0)"
63,5,10,-24.0,"(25537.0, 6035.0)"
64,5,10,43.0,"(26736.0, 4145.0)"
65,5,10,-44.0,"(27353.0, 4145.0)"
66,5,10,-48.0,"(24210.0, 5955.0)"
67,5,10,-45.0,"(22735.0, 5314.0)"
68,5,10,-21.0,"(25537.0, 5728.0)"
69,5,10,-5.0,"(22735.0, 5314.0)"
70,5,15,-42.0,"(27353.0, 4145.0)"
71,5,15,-35.0,"(26736.0, 4145.0)"
72,5,15,-44.0,"(25537.0, 5728.0)"
73,5,15,-7.0,"(24210.0, 5955.0)"
74,5,15,3.0,"(22735.0, 5314.0)"
75,5,15,2.0,"(22735.0, 5314.0)"
76,5,15,12.0,"(24210.0, 5955.0)"
77,5,15,14.0,"(22735.0, 5314.0)"
78,5,15,-62.0,"(25537.0, 6035.0)"
79,5,15,-56.0,"(25537.0, 6035.0)"
80,5,20,-36.0,"(24210.0, 5955.0)"
81,5,20,-77.0,"(25537.0, 5728.0)"
82,5,20,-44.0,"(25537.0, 5728.0)"
