,step,mx,final,xy
0,2,5,-18.0,"(-3577.0, -2639.0)"
1,2,5,-4.0,"(-3577.0, -2639.0)"
2,2,5,-23.0,"(-3577.0, -2639.0)"
3,2,5,-6.0,"(-3577.0, -2639.0)"
4,2,5,7.0,"(-3577.0, -2639.0)"
5,2,5,7.0,"(-3577.0, -2639.0)"
6,2,5,-16.0,"(-3577.0, -2639.0)"
7,2,5,-26.0,"(-3577.0, -2639.0)"
8,2,5,-30.0,"(-3577.0, -2639.0)"
9,2,5,-3.0,"(-3577.0, -2639.0)"
10,2,5,-15.0,"(-3577.0, -2639.0)"
11,2,5,23.0,"(-3577.0, -2639.0)"
12,2,5,-6.0,"(-3577.0, -2639.0)"
13,2,5,23.0,"(-3577.0, -2639.0)"
14,2,5,-12.0,"(-3577.0, -2639.0)"
15,2,5,-6.0,"(-3577.0, -2639.0)"
16,2,5,15.0,"(-3577.0, -2639.0)"
17,2,5,-6.0,"(-3577.0, -2639.0)"
18,2,5,-17.0,"(-3577.0, -2639.0)"
19,2,5,9.0,"(-3577.0, -2639.0)"
20,2,5,-18.0,"(-3577.0, -2639.0)"
21,2,5,15.0,"(-3577.0, -2639.0)"
22,2,5,-3.0,"(-3577.0, -2639.0)"
23,2,5,7.0,"(-3577.0, -2639.0)"
24,2,5,10.0,"(-3577.0, -2639.0)"
25,2,5,-32.0,"(-3577.0, -2639.0)"
26,2,5,-16.0,"(-3577.0, -2639.0)"
27,2,5,4.0,"(-3577.0, -2639.0)"
28,2,5,-31.0,"(-3577.0, -2639.0)"
29,2,5,-6.0,"(-3577.0, -2639.0)"
30,2,5,-6.0,"(-3577.0, -2639.0)"
31,2,5,-21.0,"(-3577.0, -2639.0)"
32,2,5,-13.0,"(-3577.0, -2639.0)"
33,2,5,-14.0,"(-3577.0, -2639.0)"
34,2,5,20.0,"(-3577.0, -2639.0)"
35,2,5,7.0,"(-3577.0, -2639.0)"
36,2,5,8.0,"(-3577.0, -2639.0)"
37,2,5,-6.0,"(-3577.0, -2639.0)"
38,2,5,8.0,"(-3577.0, -2639.0)"
39,2,5,8.0,"(-3577.0, -2639.0)"
40,2,5,-15.0,"(-3577.0, -2639.0)"
41,2,5,-3.0,"(-3577.0, -2639.0)"
42,2,5,-11.0,"(-3577.0, -2639.0)"
43,2,5,-14.0,"(-3577.0, -2639.0)"
44,2,5,-6.0,"(-3577.0, -2639.0)"
45,2,5,-5.0,"(-3577.0, -2639.0)"
46,2,5,-6.0,"(-3577.0, -2639.0)"
47,2,5,-12.0,"(-3577.0, -2639.0)"
48,2,5,-11.0,"(-3577.0, -2639.0)"
49,2,5,2.0,"(-3577.0, -2639.0)"
50,2,5,-30.0,"(-3577.0, -2639.0)"
51,2,5,-6.0,"(-3577.0, -2639.0)"
52,2,5,-11.0,"(-3577.0, -2639.0)"
53,2,5,-21.0,"(-3577.0, -2639.0)"
54,2,5,20.0,"(-3577.0, -2639.0)"
55,2,5,14.0,"(-3577.0, -2639.0)"
56,2,5,24.0,"(-3577.0, -2639.0)"
57,2,5,2.0,"(-3577.0, -2639.0)"
58,2,5,-3.0,"(-3577.0, -2639.0)"
59,2,5,22.0,"(-3577.0, -2639.0)"
60,2,5,-3.0,"(-3577.0, -2639.0)"
61,2,5,14.0,"(-3577.0, -2639.0)"
62,2,5,17.0,"(-3577.0, -2639.0)"
63,2,5,-27.0,"(-3577.0, -2639.0)"
64,2,5,21.0,"(-3577.0, -2639.0)"
65,2,5,-12.0,"(-3577.0, -2639.0)"
66,2,5,7.0,"(-3577.0, -2639.0)"
67,2,5,-6.0,"(-3577.0, -2639.0)"
68,2,5,-11.0,"(-3577.0, -2639.0)"
69,2,5,-14.0,"(-3577.0, -2639.0)"
70,2,5,-6.0,"(-3577.0, -2639.0)"
71,2,5,-6.0,"(-3577.0, -2639.0)"
72,2,5,-26.0,"(-3577.0, -2639.0)"
73,2,5,-16.0,"(-3577.0, -2639.0)"
74,2,5,18.0,"(-3577.0, -2639.0)"
75,2,5,21.0,"(-3577.0, -2639.0)"
76,2,5,-15.0,"(-3577.0, -2639.0)"
77,2,5,-5.0,"(-3577.0, -2639.0)"
78,2,5,-14.0,"(-3577.0, -2639.0)"
79,2,5,25.0,"(-3577.0, -2639.0)"
80,2,5,-7.0,"(-3577.0, -2639.0)"
81,2,5,25.0,"(-3577.0, -2639.0)"
82,2,5,-12.0,"(-3577.0, -2639.0)"
83,2,5,-16.0,"(-3577.0, -2639.0)"
84,2,5,20.0,"(-3577.0, -2639.0)"
85,2,5,-22.0,"(-3577.0, -2639.0)"
86,2,5,-17.0,"(-3577.0, -2639.0)"
87,2,5,-2.0,"(-3577.0, -2639.0)"
88,2,5,-7.0,"(-3577.0, -2639.0)"
89,2,5,8.0,"(-3577.0, -2639.0)"
90,2,5,17.0,"(-3577.0, -2639.0)"
91,2,5,17.0,"(-3577.0, -2639.0)"
92,2,5,-32.0,"(-3577.0, -2639.0)"
93,2,5,-22.0,"(-3577.0, -2639.0)"
94,2,5,19.0,"(-3577.0, -2639.0)"
95,2,5,21.0,"(-3577.0, -2639.0)"
96,2,5,20.0,"(-3577.0, -2639.0)"
97,2,5,22.0,"(-3577.0, -2639.0)"
98,2,5,20.0,"(-3577.0, -2639.0)"
99,2,5,-29.0,"(-3577.0, -2639.0)"
100,2,10,-23.0,"(-1112.0, -1314.0)"
101,2,10,4.0,"(-1112.0, -1314.0)"
102,2,10,5.0,"(-1112.0, -1314.0)"
103,2,10,-8.0,"(-1112.0, -1314.0)"
104,2,10,-17.0,"(-1112.0, -1314.0)"
105,2,10,-5.0,"(-1112.0, -1314.0)"
106,2,10,-16.0,"(-1112.0, -1314.0)"
107,2,10,-8.0,"(-1112.0, -1314.0)"
108,2,10,4.0,"(-1112.0, -1314.0)"
109,2,10,-3.0,"(-1112.0, -1314.0)"
110,2,10,13.0,"(-1112.0, -1314.0)"
111,2,10,17.0,"(-1112.0, -1314.0)"
112,2,10,9.0,"(-1112.0, -1314.0)"
