,algo,focus,iters
0,brenner,1.0,15
1,range,1.0,15
2,entropy,1.0,15
3,sobel,19.0,15
4,variance,1.0,15
5,power,21.0,15
6,brenner,3.0,15
7,range,5.0,15
8,entropy,5.0,15
9,sobel,29.0,15
10,variance,7.0,15
11,power,-19.0,15
12,brenner,-1.0,15
13,range,-7.0,15
14,entropy,-1.0,15
15,sobel,-23.0,15
16,variance,-3.0,15
17,power,25.0,15
18,brenner,-2.0,15
19,range,4.0,15
20,entropy,0.0,15
21,sobel,-6.0,15
22,variance,-2.0,15
23,power,-26.0,15
24,brenner,-2.0,15
25,range,4.0,15
26,entropy,0.0,15
27,sobel,-6.0,15
28,variance,-2.0,15
29,power,-26.0,15
30,brenner,2.0,15
31,range,4.0,15
32,entropy,2.0,15
33,sobel,-8.0,15
34,variance,4.0,15
35,power,-20.0,15
36,brenner,3.0,15
37,range,5.0,15
38,entropy,5.0,15
39,sobel,-19.0,15
40,variance,7.0,15
41,power,35.0,15
42,brenner,-2.0,15
43,range,4.0,15
44,entropy,0.0,15
45,sobel,-6.0,15
46,variance,-2.0,15
47,power,30.0,15
48,brenner,4.0,15
49,range,2.0,15
50,entropy,8.0,15
51,sobel,22.0,15
52,variance,4.0,15
53,power,28.0,15
54,brenner,-1.0,15
55,range,-7.0,15
56,entropy,-1.0,15
57,sobel,-23.0,15
58,variance,-3.0,15
59,power,23.0,15
60,brenner,2.0,15
61,range,4.0,15
62,entropy,2.0,15
63,sobel,-8.0,15
64,variance,4.0,15
65,power,42.0,15
66,brenner,-1.0,15
67,range,-7.0,15
68,entropy,-1.0,15
69,sobel,25.0,15
70,variance,-3.0,15
71,power,25.0,15
72,brenner,4.0,15
73,range,8.0,15
74,entropy,8.0,15
75,sobel,22.0,15
76,variance,4.0,15
77,power,-12.0,15
78,brenner,-1.0,15
79,range,-7.0,15
80,entropy,-1.0,15
81,sobel,-23.0,15
82,variance,-3.0,15
83,power,-23.0,15
84,brenner,2.0,15
85,range,4.0,15
86,entropy,2.0,15
87,sobel,-8.0,15
88,variance,4.0,15
89,power,-20.0,15
90,brenner,4.0,15
91,range,8.0,15
92,entropy,-2.0,15
93,sobel,-26.0,15
94,variance,4.0,15
95,power,-12.0,15
96,brenner,-2.0,15
97,range,4.0,15
98,entropy,0.0,15
99,sobel,-6.0,15
100,variance,-2.0,15
101,power,28.0,15
102,brenner,4.0,15
103,range,8.0,15
104,entropy,8.0,15
105,sobel,22.0,15
106,variance,4.0,15
107,power,-12.0,15
108,brenner,2.0,15
109,range,4.0,15
110,entropy,2.0,15
111,sobel,-8.0,15
112,variance,4.0,15
113,power,42.0,15
114,brenner,1.0,15
115,range,1.0,15
116,entropy,1.0,15
117,sobel,-1.0,15
118,variance,1.0,15
119,power,19.0,15
120,brenner,3.0,15
121,range,-1.0,15
122,entropy,5.0,15
123,sobel,-19.0,15
124,variance,7.0,15
125,power,-19.0,15
126,brenner,4.0,15
127,range,8.0,15
128,entropy,8.0,15
129,sobel,22.0,15
130,variance,4.0,15
131,power,-12.0,15
132,brenner,4.0,15
133,range,8.0,15
134,entropy,8.0,15
135,sobel,-26.0,15
136,variance,4.0,15
137,power,-12.0,15
138,brenner,1.0,15
139,range,1.0,15
140,entropy,1.0,15
141,sobel,-1.0,15
142,variance,3.0,15
143,power,19.0,15
144,brenner,1.0,15
145,range,1.0,15
146,entropy,1.0,15
147,sobel,-1.0,15
148,variance,3.0,15
149,power,19.0,15
150,brenner,4.0,15
151,range,-2.0,15
152,entropy,8.0,15
153,sobel,-26.0,15
154,variance,4.0,15
155,power,-12.0,15
156,brenner,-3.0,15
157,range,-1.0,15
158,entropy,5.0,15
159,sobel,-19.0,15
160,variance,7.0,15
161,power,-19.0,15
162,brenner,1.0,15
163,range,1.0,15
164,entropy,1.0,15
165,sobel,-1.0,15
166,variance,3.0,15
167,power,19.0,15
168,brenner,-1.0,15
169,range,-7.0,15
170,entropy,-1.0,15
171,sobel,-23.0,15
172,variance,-3.0,15
173,power,25.0,15
174,brenner,-1.0,15
175,range,-7.0,15
176,entropy,-1.0,15
177,sobel,-23.0,15
178,variance,-3.0,15
179,power,25.0,15
180,brenner,4.0,15
181,range,8.0,15
182,entropy,8.0,15
183,sobel,-26.0,15
184,variance,4.0,15
185,power,28.0,15
186,brenner,2.0,15
187,range,4.0,15
188,entropy,2.0,15
189,sobel,-8.0,15
190,variance,4.0,15
191,power,-20.0,15
192,brenner,3.0,15
193,range,5.0,15
194,entropy,3.0,15
195,sobel,-19.0,15
196,variance,7.0,15
197,power,-19.0,15
198,brenner,1.0,15
199,range,1.0,15
200,entropy,1.0,15
201,sobel,-1.0,15
202,variance,3.0,15
203,power,19.0,15
204,brenner,1.0,15
205,range,1.0,15
206,entropy,1.0,15
207,sobel,-41.0,15
208,variance,1.0,15
209,power,21.0,15
210,brenner,3.0,15
211,range,5.0,15
212,entropy,5.0,15
213,sobel,-19.0,15
214,variance,7.0,15
215,power,-19.0,15
216,brenner,2.0,15
217,range,4.0,15
218,entropy,2.0,15
219,sobel,-8.0,15
220,variance,4.0,15
221,power,-20.0,15
222,brenner,3.0,15
223,range,5.0,15
224,entropy,5.0,15
225,sobel,-19.0,15
226,variance,7.0,15
227,power,-19.0,15
228,brenner,-1.0,15
229,range,-7.0,15
230,entropy,-1.0,15
231,sobel,25.0,15
232,variance,-3.0,15
233,power,23.0,15
234,brenner,3.0,15
235,range,5.0,15
236,entropy,5.0,15
237,sobel,29.0,15
238,variance,-1.0,15
239,power,-19.0,15
240,brenner,-1.0,15
241,range,5.0,15
242,entropy,5.0,15
243,sobel,-19.0,15
244,variance,7.0,15
245,power,-19.0,15
246,brenner,2.0,15
247,range,-2.0,15
248,entropy,2.0,15
249,sobel,-8.0,15
250,variance,4.0,15
251,power,-20.0,15
252,brenner,-2.0,15
253,range,4.0,15
254,entropy,0.0,15
255,sobel,18.0,15
256,variance,-2.0,15
257,power,30.0,15
258,brenner,-1.0,15
259,range,-7.0,15
260,entropy,-1.0,15
261,sobel,25.0,15
262,variance,-3.0,15
263,power,25.0,15
264,brenner,3.0,15
265,range,5.0,15
266,entropy,5.0,15
267,sobel,29.0,15
268,variance,7.0,15
269,power,-19.0,15
270,brenner,3.0,15
271,range,3.0,15
272,entropy,5.0,15
273,sobel,-19.0,15
274,variance,1.0,15
275,power,-19.0,15
276,brenner,2.0,15
277,range,8.0,15
278,entropy,8.0,15
279,sobel,22.0,15
280,variance,4.0,15
281,power,-12.0,15
282,brenner,4.0,15
283,range,8.0,15
284,entropy,8.0,15
285,sobel,22.0,15
286,variance,4.0,15
287,power,-12.0,15
288,brenner,4.0,15
289,range,8.0,15
290,entropy,8.0,15
291,sobel,22.0,15
292,variance,2.0,15
293,power,-12.0,15
294,brenner,3.0,15
295,range,5.0,15
296,entropy,5.0,15
297,sobel,-19.0,15
298,variance,7.0,15
299,power,-19.0,15
300,brenner,1.0,15
301,range,1.0,15
302,entropy,1.0,15
303,sobel,-41.0,15
304,variance,1.0,15
305,power,-21.0,15
306,brenner,-1.0,15
307,range,1.0,15
308,entropy,-5.0,15
309,sobel,-1.0,15
310,variance,3.0,15
311,power,-11.0,15
312,brenner,-1.0,15
313,range,1.0,15
314,entropy,-1.0,15
315,sobel,25.0,15
316,variance,-3.0,15
317,power,-23.0,15
318,brenner,1.0,15
319,range,1.0,15
320,entropy,1.0,15
321,sobel,-1.0,15
322,variance,3.0,15
323,power,19.0,15
324,brenner,1.0,15
325,range,1.0,15
326,entropy,1.0,15
327,sobel,19.0,15
328,variance,1.0,15
329,power,-21.0,15
330,brenner,-2.0,15
331,range,-2.0,15
332,entropy,0.0,15
333,sobel,-6.0,15
334,variance,-2.0,15
335,power,-26.0,15
336,brenner,3.0,15
337,range,5.0,15
338,entropy,5.0,15
339,sobel,-19.0,15
340,variance,7.0,15
341,power,-19.0,15
342,brenner,-1.0,15
343,range,-7.0,15
344,entropy,-1.0,15
345,sobel,-23.0,15
346,variance,-3.0,15
347,power,25.0,15
348,brenner,-2.0,15
349,range,-2.0,15
350,entropy,0.0,15
351,sobel,-6.0,15
352,variance,-2.0,15
353,power,30.0,15
354,brenner,2.0,15
355,range,4.0,15
356,entropy,2.0,15
357,sobel,38.0,15
358,variance,4.0,15
359,power,42.0,15
360,brenner,-2.0,15
361,range,-2.0,15
362,entropy,0.0,15
363,sobel,-6.0,15
364,variance,-2.0,15
365,power,-26.0,15
366,brenner,1.0,15
367,range,1.0,15
368,entropy,1.0,15
369,sobel,-1.0,15
370,variance,3.0,15
371,power,19.0,15
372,brenner,1.0,15
373,range,1.0,15
374,entropy,1.0,15
375,sobel,-1.0,15
376,variance,3.0,15
377,power,19.0,15
378,brenner,4.0,15
379,range,4.0,15
380,entropy,8.0,15
381,sobel,-26.0,15
382,variance,2.0,15
383,power,-12.0,15
384,brenner,-1.0,15
385,range,-7.0,15
386,entropy,-1.0,15
387,sobel,-23.0,15
388,variance,-3.0,15
389,power,-23.0,15
390,brenner,1.0,15
391,range,1.0,15
392,entropy,1.0,15
393,sobel,-1.0,15
394,variance,3.0,15
395,power,19.0,15
396,brenner,-1.0,15
397,range,-7.0,15
398,entropy,-1.0,15
399,sobel,25.0,15
400,variance,-3.0,15
401,power,25.0,15
402,brenner,1.0,15
403,range,1.0,15
404,entropy,1.0,15
405,sobel,19.0,15
406,variance,1.0,15
407,power,-21.0,15
408,brenner,1.0,15
409,range,1.0,15
410,entropy,1.0,15
411,sobel,-41.0,15
412,variance,1.0,15
413,power,-21.0,15
414,brenner,4.0,15
415,range,8.0,15
416,entropy,8.0,15
417,sobel,22.0,15
418,variance,4.0,15
419,power,-12.0,15
420,brenner,3.0,15
421,range,5.0,15
422,entropy,5.0,15
423,sobel,-19.0,15
424,variance,7.0,15
425,power,-19.0,15
426,brenner,-1.0,15
427,range,-7.0,15
428,entropy,-1.0,15
429,sobel,-23.0,15
430,variance,-3.0,15
431,power,25.0,15
432,brenner,1.0,15
433,range,-1.0,15
434,entropy,1.0,15
435,sobel,19.0,15
436,variance,1.0,15
437,power,-21.0,15
438,brenner,-5.0,15
439,range,1.0,15
440,entropy,1.0,15
441,sobel,-1.0,15
442,variance,3.0,15
443,power,19.0,15
444,brenner,2.0,15
445,range,0.0,15
446,entropy,2.0,15
447,sobel,-8.0,15
448,variance,4.0,15
449,power,-20.0,15
450,brenner,3.0,15
451,range,5.0,15
452,entropy,1.0,15
453,sobel,29.0,15
454,variance,7.0,15
455,power,35.0,15
456,brenner,-1.0,15
457,range,1.0,15
458,entropy,-1.0,15
459,sobel,25.0,15
460,variance,-3.0,15
461,power,25.0,15
462,brenner,3.0,15
463,range,5.0,15
464,entropy,5.0,15
465,sobel,29.0,15
466,variance,7.0,15
467,power,-19.0,15
468,brenner,-2.0,15
469,range,4.0,15
470,entropy,0.0,15
471,sobel,-6.0,15
472,variance,-2.0,15
473,power,30.0,15
474,brenner,1.0,15
475,range,1.0,15
476,entropy,1.0,15
477,sobel,19.0,15
478,variance,1.0,15
479,power,-21.0,15
480,brenner,-2.0,15
481,range,4.0,15
482,entropy,0.0,15
483,sobel,-6.0,15
484,variance,-2.0,15
485,power,-26.0,15
486,brenner,1.0,15
487,range,1.0,15
488,entropy,1.0,15
489,sobel,-41.0,15
490,variance,-1.0,15
491,power,21.0,15
492,brenner,4.0,15
493,range,8.0,15
494,entropy,8.0,15
495,sobel,22.0,15
496,variance,4.0,15
497,power,-12.0,15
498,brenner,4.0,15
499,range,4.0,15
500,entropy,8.0,15
501,sobel,-26.0,15
502,variance,4.0,15
503,power,-12.0,15
504,brenner,-1.0,15
505,range,-7.0,15
506,entropy,-1.0,15
507,sobel,-23.0,15
508,variance,-3.0,15
509,power,25.0,15
510,brenner,1.0,15
511,range,1.0,15
512,entropy,1.0,15
513,sobel,19.0,15
514,variance,1.0,15
515,power,-21.0,15
516,brenner,1.0,15
517,range,1.0,15
518,entropy,1.0,15
519,sobel,-41.0,15
520,variance,1.0,15
521,power,-21.0,15
522,brenner,2.0,15
523,range,4.0,15
524,entropy,2.0,15
525,sobel,-8.0,15
526,variance,4.0,15
527,power,-20.0,15
528,brenner,2.0,15
529,range,4.0,15
530,entropy,2.0,15
531,sobel,-8.0,15
532,variance,4.0,15
533,power,38.0,15
534,brenner,1.0,15
535,range,1.0,15
536,entropy,1.0,15
537,sobel,-1.0,15
538,variance,3.0,15
539,power,19.0,15
540,brenner,1.0,15
541,range,1.0,15
542,entropy,-1.0,15
543,sobel,-1.0,15
544,variance,1.0,15
545,power,19.0,15
546,brenner,2.0,15
547,range,4.0,15
548,entropy,2.0,15
549,sobel,-8.0,15
550,variance,4.0,15
551,power,-20.0,15
552,brenner,-2.0,15
553,range,4.0,15
554,entropy,0.0,15
555,sobel,-6.0,15
556,variance,-2.0,15
557,power,30.0,15
558,brenner,-2.0,15
559,range,4.0,15
560,entropy,0.0,15
561,sobel,-6.0,15
562,variance,-2.0,15
563,power,30.0,15
564,brenner,-1.0,15
565,range,-7.0,15
566,entropy,-1.0,15
567,sobel,-23.0,15
568,variance,-3.0,15
569,power,-23.0,15
570,brenner,1.0,15
571,range,1.0,15
572,entropy,1.0,15
573,sobel,-1.0,15
574,variance,3.0,15
575,power,19.0,15
576,brenner,-1.0,15
577,range,-7.0,15
578,entropy,-1.0,15
579,sobel,-23.0,15
580,variance,-1.0,15
581,power,-23.0,15
582,brenner,3.0,15
583,range,5.0,15
584,entropy,5.0,15
585,sobel,-19.0,15
586,variance,7.0,15
587,power,-19.0,15
588,brenner,2.0,15
589,range,-2.0,15
590,entropy,2.0,15
591,sobel,-8.0,15
592,variance,4.0,15
593,power,-20.0,15
594,brenner,-2.0,15
595,range,4.0,15
596,entropy,0.0,15
597,sobel,-6.0,15
598,variance,-2.0,15
599,power,30.0,15
600,brenner,2.0,15
601,range,4.0,15
602,entropy,2.0,15
603,sobel,-8.0,15
