,z,xy,focus,file,brenner,range,entropy,sobel,variance,power,nz
0,9269.0,"(27353.0, 4145.0)",9367.0,D:\WorkDrive\Images\FL\009269z_027353x_004145y_093672F.tiff,16445040.0,115468.0,5.045533106239233,-1231846716.0,118.80428546244677,4286974941.0,-98.0
1,9271.0,"(26736.0, 4145.0)",9369.0,D:\WorkDrive\Images\FL\009271z_026736x_004145y_093692F.tiff,27792738.0,28306.0,6.494760371170076,-129568076.0,677.5098526241874,319743499.0,-98.0
2,9271.0,"(27353.0, 4145.0)",9367.0,D:\WorkDrive\Images\FL\009271z_027353x_004145y_093672F.tiff,16405618.0,118803.0,5.0418951118551005,-2425199716.0,121.58317783414105,4267954620.0,-96.0
3,9272.0,"(25537.0, 6035.0)",9371.0,D:\WorkDrive\Images\FL\009272z_025537x_006035y_093706F.tiff,19052944.0,116746.0,5.598624802848542,333978432.0,684.3856059888575,3201801016.0,-99.0
4,9273.0,"(26736.0, 4145.0)",9369.0,D:\WorkDrive\Images\FL\009273z_026736x_004145y_093692F.tiff,27856962.0,29592.0,6.506767402459085,3289322952.0,699.5305078386108,345939336.0,-96.0
5,9273.0,"(27353.0, 4145.0)",9367.0,D:\WorkDrive\Images\FL\009273z_027353x_004145y_093672F.tiff,16329604.0,122270.0,5.031543447398009,-2962591224.0,123.17743086919411,4261208622.0,-94.0
6,9274.0,"(25537.0, 5728.0)",9373.0,D:\WorkDrive\Images\FL\009274z_025537x_005728y_093729F.tiff,20859966.0,117457.0,5.5571109081239864,-1733373840.0,399.47452592528515,2488319114.0,-99.0
7,9274.0,"(25537.0, 6035.0)",9371.0,D:\WorkDrive\Images\FL\009274z_025537x_006035y_093706F.tiff,19352580.0,119005.0,5.600572331070215,-337895432.0,703.1659494079902,3250562713.0,-97.0
8,9275.0,"(26736.0, 4145.0)",9369.0,D:\WorkDrive\Images\FL\009275z_026736x_004145y_093692F.tiff,27843472.0,31591.0,6.512958845838155,601602800.0,717.1947910781573,401527241.0,-94.0
9,9275.0,"(27353.0, 4145.0)",9367.0,D:\WorkDrive\Images\FL\009275z_027353x_004145y_093672F.tiff,16467824.0,123996.0,5.035534791088753,-2895268872.0,128.30057328507297,4266441299.0,-92.0
10,9276.0,"(25537.0, 5728.0)",9373.0,D:\WorkDrive\Images\FL\009276z_025537x_005728y_093729F.tiff,20946324.0,121821.0,5.5376718012894,1776820280.0,411.9974029204567,2424820543.0,-97.0
